Station (alphabetical by borough),2013,2014,2015,2016,2017,2018,2017-2018 Change,2017-2018 Change2,2018 Rank
The Bronx,The Bronx,The Bronx,The Bronx,The Bronx,The Bronx,The Bronx,The Bronx,The Bronx,The Bronx
104 St,"516,000","388,144","538,400","626,547","560,309","548,871","-11,438",-2.0%,404
104 St,"779,537","827,890","841,545","850,903","502,541","456,765","-45,776",-9.1%,409
111 St,"3,607,926","3,659,225","3,699,843","3,753,756","3,721,445","3,608,389","-113,056",-3.0%,131
111 St,"795,820","802,831","767,647","561,857","748,813","762,641","+13,828",+1.8%,383
111 St,"780,300","802,275","812,055","805,255","948,885","801,639","-147,246",-15.5%,379
121 St,"688,985","766,469","788,674","794,687","337,075","391,696","+54,621",+16.2%,412
169 St,"2,834,112","2,854,274","2,858,542","2,787,763","2,629,975","2,497,336","-132,639",-5.0%,188
21 St,"422,616","427,353","533,529","580,065","598,061","550,464","-47,597",-8.0%,403
21    St-Queensbridge,"2,631,860","2,683,624","2,884,831","3,009,540","3,157,675","3,340,366","+182,691",+5.8%,146
30 Av,"4,776,709","4,808,350","4,745,260","4,694,548","3,437,709","2,373,721","-1,063,988",-31.0%,197
33 St-Rawson    St,"3,899,003","3,892,589","3,712,153","3,636,632","3,402,610","3,031,465","-371,145",-10.9%,164
36 Av,"2,462,645","2,439,630","2,394,564","2,343,925","1,677,211","1,446,827","-230,384",-13.7%,302
36 St,"1,278,109","1,307,054","1,339,754","1,355,271","1,362,430","1,513,330","+150,900",+11.1%,289
39 Av- Dutch Kills,"1,012,381","1,104,375","1,072,026","1,016,809","979,103","665,750","-313,353",-32.0%,390
40 St-Lowery    St,"3,483,507","3,496,675","3,421,569","3,399,567","3,261,769","3,048,104","-213,665",-6.6%,163
46 St,"3,014,082","3,021,219","2,956,981","2,904,517","2,781,811","2,711,011","-70,800",-2.5%,176
46 St-Bliss    St,"4,734,334","4,695,672","4,593,351","4,541,003","4,303,987","4,058,815","-245,172",-5.7%,117
52 St,"2,182,725","2,214,115","2,177,884","2,131,770","2,027,659","1,883,246","-144,413",-7.1%,250
63 Dr-Rego    Park,"5,129,203","5,272,014","5,244,226","5,219,811","4,991,559","4,769,745","-221,814",-4.4%,95
65 St,"1,124,823","1,159,576","1,192,281","1,183,534","1,120,703","1,129,031","+8,328",+0.7%,336
67 Av,"2,818,350","2,851,905","2,853,794","2,807,769","2,695,321","2,592,645","-102,676",-3.8%,181
69 St,"1,671,584","1,685,222","1,629,526","1,643,806","1,602,770","1,510,410","-92,360",-5.8%,290
74-Bway    /Jackson Hts-Roosevelt Av,"16,864,938","17,087,795","17,224,537","17,301,839","17,095,073","16,994,358","-100,715",-0.6%,13
